date,open_price,high_price,low_price,close_price
,GC=F,GC=F,GC=F,GC=F
2014-07-01,1326.699951171875,1343.699951171875,1280.5999755859375,1281.300048828125
2014-08-01,1284.0999755859375,1321.4000244140625,1272.0,1285.800048828125
2014-09-01,1284.5,1286.4000244140625,1204.0,1210.5
2014-10-01,1207.699951171875,1251.0,1161.4000244140625,1171.0999755859375
2014-11-01,1166.4000244140625,1202.4000244140625,1133.0,1175.199951171875
2014-12-01,1160.0,1238.0,1141.699951171875,1183.9000244140625
2015-01-01,1184.0,1303.5,1169.5,1278.5
2015-04-01,1182.9000244140625,1224.199951171875,1174.5999755859375,1182.4000244140625
2015-05-01,1178.0999755859375,1228.0999755859375,1170.0,1189.4000244140625
2015-06-01,1190.5999755859375,1204.0,1164.0,1171.5
2015-07-01,1173.0999755859375,1173.0999755859375,1078.5999755859375,1094.9000244140625
2015-08-01,1095.5,1169.0,1080.5,1131.5999755859375
2015-09-01,1133.5,1155.9000244140625,1098.199951171875,1115.5
2015-10-01,1115.199951171875,1189.0,1105.800048828125,1141.5
2015-12-01,1064.5999755859375,1098.800048828125,1046.199951171875,1060.300048828125
2016-01-01,1063.4000244140625,1125.699951171875,1063.199951171875,1116.4000244140625
2016-02-01,1116.699951171875,1260.800048828125,1115.300048828125,1233.9000244140625
2016-03-01,1240.5,1280.699951171875,1210.0,1234.199951171875
2016-04-01,1232.300048828125,1295.5,1209.199951171875,1289.199951171875
2016-06-01,1215.699951171875,1355.5999755859375,1205.4000244140625,1318.4000244140625
2016-07-01,1324.5,1374.9000244140625,1312.800048828125,1349.0
2016-08-01,1348.800048828125,1366.0,1306.300048828125,1306.9000244140625
2016-09-01,1305.300048828125,1350.5,1301.5,1313.300048828125
2016-10-01,1313.5,1316.800048828125,1248.9000244140625,1271.5
2016-11-01,1279.300048828125,1318.5999755859375,1167.9000244140625,1170.800048828125
2016-12-01,1172.699951171875,1186.699951171875,1123.9000244140625,1150.0
2017-02-01,1211.9000244140625,1263.0999755859375,1197.9000244140625,1252.5999755859375
2017-03-01,1247.800048828125,1257.699951171875,1196.199951171875,1247.300048828125
2017-04-01,1247.5,1294.800048828125,1243.0,1266.0999755859375
2017-05-01,1268.699951171875,1273.199951171875,1214.0,1272.0
2017-06-01,1268.0,1295.199951171875,1238.0999755859375,1240.699951171875
2017-07-01,1236.0,1270.800048828125,1208.5999755859375,1266.5999755859375
2017-08-01,1268.4000244140625,1323.800048828125,1251.4000244140625,1316.199951171875
2017-09-01,1320.199951171875,1355.800048828125,1277.0,1281.5
2017-11-01,1272.199951171875,1296.199951171875,1265.300048828125,1273.199951171875
2017-12-01,1274.0999755859375,1306.300048828125,1236.5,1306.300048828125
2018-01-01,1302.300048828125,1362.4000244140625,1302.300048828125,1339.0
2018-02-01,1343.800048828125,1361.4000244140625,1307.0,1315.5
2018-03-01,1310.4000244140625,1354.4000244140625,1301.800048828125,1322.800048828125
2018-05-01,1313.199951171875,1320.800048828125,1285.199951171875,1300.0999755859375
2018-06-01,1298.5999755859375,1307.699951171875,1244.800048828125,1251.300048828125
2018-08-01,1222.9000244140625,1223.699951171875,1161.4000244140625,1200.300048828125
2018-09-01,1193.800048828125,1206.199951171875,1180.0,1191.5
2018-10-01,1191.5999755859375,1238.5999755859375,1183.699951171875,1212.300048828125
2018-11-01,1215.4000244140625,1236.0,1196.300048828125,1220.199951171875
2018-12-01,1222.5,1281.300048828125,1221.300048828125,1278.300048828125
2019-01-01,1286.0,1325.4000244140625,1275.300048828125,1319.699951171875
2019-02-01,1320.300048828125,1344.0,1301.5999755859375,1312.800048828125
2019-03-01,1312.199951171875,1322.9000244140625,1281.0,1293.0
2019-04-01,1291.800048828125,1309.0999755859375,1266.0,1282.800048828125
2019-05-01,1278.699951171875,1306.4000244140625,1266.5999755859375,1305.800048828125
2019-06-01,1307.0,1433.300048828125,1307.0,1409.699951171875
2019-07-01,1386.5999755859375,1444.199951171875,1382.800048828125,1426.0999755859375
2019-08-01,1411.300048828125,1549.300048828125,1400.9000244140625,1519.0999755859375
2019-10-01,1468.699951171875,1518.199951171875,1458.300048828125,1511.4000244140625
2019-11-01,1511.0,1511.5999755859375,1447.0999755859375,1465.5999755859375
2020-01-01,1518.0999755859375,1604.199951171875,1518.0,1582.9000244140625
2020-02-01,1592.9000244140625,1686.5999755859375,1547.699951171875,1564.0999755859375
2020-04-01,1570.0,1775.0,1570.0,1684.199951171875
2020-05-01,1686.5999755859375,1770.5,1670.5,1736.9000244140625
2020-06-01,1740.4000244140625,1793.199951171875,1668.5999755859375,1793.0
2020-07-01,1793.5999755859375,1981.0999755859375,1765.800048828125,1962.800048828125
2020-08-01,1984.300048828125,2063.0,1871.5999755859375,1967.5999755859375
2020-09-01,1961.699951171875,1986.300048828125,1851.5,1887.5
2020-10-01,1884.0999755859375,1929.0999755859375,1858.800048828125,1877.4000244140625
2020-12-01,1775.0,1908.0,1774.9000244140625,1893.0999755859375
2021-01-01,1912.199951171875,1959.9000244140625,1802.0,1847.300048828125
2021-02-01,1866.5999755859375,1871.9000244140625,1718.800048828125,1728.0999755859375
2021-03-01,1737.0999755859375,1750.300048828125,1673.699951171875,1713.800048828125
2021-04-01,1706.800048828125,1794.5,1706.4000244140625,1767.300048828125
2021-05-01,1788.5,1905.4000244140625,1774.800048828125,1902.5
2021-06-01,1905.0999755859375,1916.199951171875,1752.0999755859375,1770.800048828125
2021-07-01,1775.699951171875,1833.0,1768.800048828125,1812.5999755859375
2021-09-01,1813.5,1833.9000244140625,1721.4000244140625,1755.300048828125
2021-10-01,1754.300048828125,1809.0,1744.699951171875,1783.0
2021-11-01,1787.5,1869.699951171875,1761.800048828125,1773.5999755859375
2021-12-01,1774.800048828125,1827.800048828125,1753.9000244140625,1827.5
2022-01-01,1830.0999755859375,1852.699951171875,1778.800048828125,1795.0
2022-02-01,1797.199951171875,1972.5,1787.9000244140625,1899.4000244140625
2022-03-01,1908.300048828125,2072.0,1893.5,1949.199951171875
2022-04-01,1935.0,1997.0999755859375,1872.9000244140625,1909.300048828125
2022-06-01,1831.0,1875.5999755859375,1801.0,1804.0999755859375
2022-07-01,1795.5,1806.0999755859375,1679.800048828125,1762.9000244140625
2022-08-01,1763.9000244140625,1804.9000244140625,1708.5,1712.800048828125
2022-09-01,1707.9000244140625,1728.0999755859375,1620.4000244140625,1662.4000244140625
2022-10-01,1667.199951171875,1728.0,1622.800048828125,1635.9000244140625
2022-11-01,1630.800048828125,1778.9000244140625,1615.0999755859375,1746.0
2022-12-01,1768.699951171875,1826.300048828125,1764.300048828125,1819.699951171875
2023-02-01,1927.199951171875,1959.0999755859375,1808.0999755859375,1828.9000244140625
2023-03-01,1827.0999755859375,2003.9000244140625,1811.5,1969.0
2023-04-01,1968.0999755859375,2048.60009765625,1950.0,1990.0999755859375
2023-05-01,1980.0999755859375,2072.0,1931.0,1963.9000244140625
2023-06-01,1963.199951171875,1983.0,1892.5,1921.0999755859375
2023-07-01,1917.9000244140625,1978.4000244140625,1903.199951171875,1970.5
2023-08-01,1964.9000244140625,1965.4000244140625,1884.0,1938.199951171875
2023-09-01,1950.0,1950.0,1846.0,1848.0999755859375
2023-11-01,1990.5,2052.10009765625,1932.5999755859375,2038.0999755859375
2023-12-01,2038.300048828125,2130.199951171875,1975.0,2062.39990234375
2024-01-01,2063.5,2073.699951171875,2002.5999755859375,2048.39990234375
2024-02-01,2040.199951171875,2064.5,1984.800048828125,2045.699951171875
2024-03-01,2043.0999755859375,2234.10009765625,2041.800048828125,2217.39990234375
2024-04-01,2235.699951171875,2429.0,2230.0,2291.39990234375
2024-05-01,2287.699951171875,2435.800048828125,2277.60009765625,2322.89990234375
2024-06-01,2322.60009765625,2385.10009765625,2285.39990234375,2327.699951171875
2024-07-01,2323.800048828125,2473.10009765625,2321.699951171875,2426.5
2024-08-01,2446.699951171875,2527.300048828125,2367.39990234375,2493.800048828125
2024-10-01,2631.39990234375,2789.0,2602.5,2738.300048828125
2024-11-01,2745.5,2756.0,2554.199951171875,2657.0
2025-01-01,2633.0,2838.0,2617.300048828125,2812.5
2025-02-01,2818.199951171875,2910.60009765625,2780.89990234375,2886.10009765625
